ACCT 201,"
The concepts, principles, and procedures pertaining to the preparation, analysis, and interpretation of financial statements."
ACCT 202,"
PR:  with grade of C or better.  Utilization of accounting information for purposes of managerial control and decision making; cost concepts, profit and financial budgeting, analysis of financial statements."
ACCT 244,"
PR:. Emphasis on hospital and other health care facilities' record keeping and reporting.  Review of accounting cycle; balance sheet, income statement and cash flow statement; principles of fund accounting; principles of budgeting, cost finding and analysis; and interpretation of financial statements."
ACCT 293,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
ACCT 311,"
PR: WVU sections require  and  with a grade of B- or better in each and PR or CONC: , WVUIT sections require  and  with a grade of C- or better. Development of accounting theory and practice, with emphasis on asset accounting."
ACCT 312,"
PR:  with a grade of C- or better. Theory and practice of accounting for liabilities, revenue recognition, and stockholders’ equity; financial statement preparation."
ACCT 323,"
PR: . Analysis of data processing fundamentals and information systems analysis, design, and implementation, including necessary computer hardware and software components with particular reference to accounting information systems and the controls necessary there in."
ACCT 331,"
PR:  with a minimum grade of C-. This course is intended for non-accounting majors. Analysis of internal accounting practices with emphasis on use of data for performance evaluation, control, motivation, through accounting systems, and decision-making. (No credit available to students having credit for  and .)."
ACCT 348,"
PR:. This course will include an in-depth review of financial statements; financial ratios and fraud analysis; industry average comparisons; financial services and library sources; and extended utility of ratios.  Also listed as ."
ACCT 415,"
PR:  and ( or ). Accounting for business combinations, consolidations, foreign currency translation, governmental and nonprofit entities, and equity method investment accounting."
ACCT 420,"
PR:.  An overview of fraud related concepts; management fraud; financial statement fraud; fraud prevention and detection techniques; elements of fraud investigation; and interviewing process."
ACCT 421,"
Offers a basic understanding of what motivates criminals to commit fraud; legal elements of fraud; rules of evidence; key legal rights and privacy issues; testifying; and non- control deterrence and methods used to implement it."
ACCT 422,"
This course includes an in-depth review of techniques used in investigating financial fraud.  Topics include: investigating theft and concealment; sources of information; interviewing and testifying."
ACCT 423,"
This course will cover security issues in a computerized environment.  Topics include: security guidelines, implementation, and cost issues; risk management and control."
ACCT 430,"
PR: and ACCT 445 or consent.  Information Technology (IT) audit overview, legal and ethical issues for IT auditors, risks &amp; controls, deployment risks, managing the IT function, networks and telecommunication risks, e-business risks, using computer assisted audit tools and techniques, conducting the IT audit, fraud and forensic auditing."
ACCT 431,"
PR:  with a minimum grade of B-.   Strategic cost management concepts and techniques used for decision making, control, and product and service costing."
ACCT 432,"
PR:  or department consent. Advanced cost management concepts and techniques with emphasis on cost measurement systems and the evaluation and management of performance."
ACCT 441,"
PR:  with a minimum grade of C-.   Federal income taxation of individuals emphasizing filing status, exemptions, gross income, deductions, credits, compensation, retirement savings, home ownership, property transactions, and investments."
ACCT 442,"
PR:  with a minimum grade of C-. Federal income tax treatment of corporations, pass through entitles and their owners or beneficiaries, introduction to multistate and international taxation, and tax planning."
ACCT 449,"
PR:.  This capstone course integrates the knowledge and skills acquired during the fraud-related course work in the program.  Several cases will be assigned for discussion and written analysis.  Students will also be required to write a research paper."
